COBId,EntityCode,SourceSystemCode,BookCode,CurrencyCode,ScenarioDate,TradeCode,AllVaR,AllVaRSkew,BasisVaR,BondAssetSpreadVaR,CrossEffects,EquityPriceVaR,EquityVegaVaR,FXRateVaR,FXVolatilityVaR,IRCapVolVaR,IRCapVolVaRSkew,IRSkewVolVaR,IRSwaptionVolVaR,IRSwaptionVolVaRSkew,InflationRateCurveVaR,InflationVolVaR,InterestRateCurveVaR,InterestRateVegaVaR,MTGSprdVaR,OASVaR,ParCreditSpreadVaR,Category,Detail
20260326,MUSI,QP,Book-BIF,USD,20080319,,,,,,,,,592.8564596,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080320,,,,,,,,,-17991.87007,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080325,,,,,,,,,7413.076952,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080326,,,,,,,,,-1567.590024,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080327,,,,,,,,,4743.681402,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080328,,,,,,,,,-684.9846472,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080331,,,,,,,,,-2330.563886,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080401,,,,,,,,,1407.028695,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080402,,,,,,,,,8675.969265,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080403,,,,,,,,,2536.575285,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080404,,,,,,,,,-73.74906491,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080407,,,,,,,,,-102.6227836,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080408,,,,,,,,,3883.286074,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080409,,,,,,,,,-5547.532987,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080410,,,,,,,,,-1629.473365,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080411,,,,,,,,,-1469.59791,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080414,,,,,,,,,-722.5621917,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080415,,,,,,,,,6044.268925,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080416,,,,,,,,,10170.54387,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080417,,,,,,,,,-9205.178294,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080418,,,,,,,,,2091.744468,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080421,,,,,,,,,6891.882075,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080422,,,,,,,,,-4353.576815,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080423,,,,,,,,,-4591.443973,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080424,,,,,,,,,2570.77222,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080425,,,,,,,,,-2414.378837,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080428,,,,,,,,,-3232.215233,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
